dia,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2
1,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3
1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4
1,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,5
1,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,6
1,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,7,7
1,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,8,8
1,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,9,9
1,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,10,10
1,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,11,11
1,13,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13,12,12
1,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,13,13
1,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15,15,15,14,14
1,16,16,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,16,15,15
1,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,16,16
1,18,18,18,18,18,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,18,18,18,17,17
1,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,19,19,19,18,18
1,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,20,20,20,19,19
1,21,21,21,21,21,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,21,21,21,20,20
1,22,22,22,22,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,22,22,22,21,21
1,23,23,23,23,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,23,23,23,22,22
1,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,23,23
1,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,24,24
1,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,25,25
1,27,27,27,27,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,26,26
1,28,28,28,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,28,28,28,27,27
1,29,29,29,29,29,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,29,29,29,28,28
1,30,30,30,30,30,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,30,30,30,29,29
1,31,31,31,31,31,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,30,30
1,32,32,32,32,32,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,31,32,32,32,31,31
1,33,33,33,33,33,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,32
1,34,34,34,34,34,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,33,34,34,34,33,33
1,35,35,35,35,35,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,34,35,35,35,34,34
1,36,36,36,36,36,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,36,36,36,35,35
1,37,37,37,37,37,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,36,37,37,37,36,36
1,38,38,38,38,38,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,37,38,38,38,37,37
1,39,39,39,39,39,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,39,39,39,38,38
1,40,40,40,40,40,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,39,40,40,40,39,39
1,41,41,41,41,41,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,40,41,41,41,40,40
1,42,42,42,42,42,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,42,42,42,41,41
1,43,43,43,43,43,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,42,43,43,43,42,42
1,44,44,44,44,44,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,43,44,44,44,43,43
